Metro,ZIP_code,2015_households_all,2015_same_sex_couples,2015_gay_couples_per_1000_household,2015_bars,2026_bars,2024_households_all,2024_same_sex_couples,2024_gay_couples_per_1000_household
NYC,07029,5969,18,3.015580499,0,0,10192,88,8.63422292
NYC,07030,24579,118,4.800846251,0,0,28088,325,11.57077756
NYC,07031,6122,9,1.470107808,0,0,6649,43,6.467137915
NYC,07032,13783,22,1.596169194,0,0,14751,45,3.050640635
NYC,07033,2605,10,3.838771593,0,0,2842,78,27.44546094
NYC,07036,14949,92,6.15425781,0,0,16239,153,9.421762424
NYC,07040,7991,65,8.13415092,0,0,8662,191,22.0503348
NYC,07041,2510,0,0,0,0,2637,9,3.412969283
NYC,07047,21676,199,9.180660638,0,0,23804,348,14.6193917
NYC,07050,11125,93,8.359550562,0,0,12099,155,12.81097611
NYC,07052,16269,54,3.319196017,0,0,17184,220,12.80260708
NYC,07055,19802,27,1.363498637,0,0,21151,96,4.538792492
NYC,07057,4594,8,1.741401828,0,0,4726,19,4.020313161
NYC,07060,14318,123,8.590585277,0,0,14951,147,9.832118253
NYC,07062,4038,31,7.677067855,0,0,4843,68,14.04088375
NYC,07064,1205,0,0,0,0,1101,16,14.53224342
NYC,07065,10858,25,2.302449807,0,0,12257,158,12.89059313
NYC,07066,5610,7,1.247771836,0,0,5929,0,0
NYC,07067,5982,36,6.018054162,0,0,6262,34,5.429575216
NYC,07070,6939,18,2.594033722,0,0,6875,133,19.34545455
NYC,07071,8165,52,6.368646663,0,0,9208,58,6.298870547
NYC,07072,2313,18,7.782101167,0,0,2586,12,4.64037123
NYC,07073,3637,11,3.024470718,0,0,4217,42,9.959686981
NYC,07074,979,4,4.085801839,0,0,1061,25,23.56267672
NYC,07075,2948,0,0,0,0,3910,16,4.092071611
NYC,07076,8345,35,4.19412822,0,0,8563,0,0
NYC,07077,930,0,0,0,0,1291,54,41.82804028
NYC,07078,4010,12,2.992518703,0,0,4519,0,0
NYC,07079,5301,69,13.016412,0,0,6113,162,26.50089972
NYC,07080,8018,25,3.117984535,0,0,8324,73,8.769822201
NYC,07081,7068,0,0,0,0,6883,7,1.016998402
NYC,07083,19293,56,2.902607163,0,0,20278,234,11.53959957
NYC,07086,5718,39,6.820566632,0,0,8588,110,12.8085701
NYC,07087,23075,80,3.46695558,0,0,25725,369,14.34402332
NYC,07088,1243,0,0,0,0,1096,0,0
NYC,07090,10367,35,3.376097232,0,0,10900,213,19.5412844
NYC,07092,2312,19,8.21799308,0,0,2508,16,6.379585327
NYC,07093,23547,159,6.752452542,0,0,25656,281,10.95260368
NYC,07094,6751,0,0,0,0,8704,65,7.467830882
NYC,07095,7365,25,3.39443313,0,0,7921,58,7.322307789
NYC,07102,4617,38,8.230452675,0,0,6270,97,15.47049442
NYC,07103,10100,36,3.564356436,0,0,12878,172,13.3561112
NYC,07104,18071,71,3.928946932,0,0,20207,62,3.068243678
NYC,07105,16424,44,2.679006332,0,0,19099,211,11.04769883
NYC,07106,10739,21,1.955489338,0,0,12944,184,14.21508035
NYC,07107,12392,15,1.21045836,0,0,15184,32,2.10748156
NYC,07108,7392,0,0,0,0,11383,63,5.534569094
NYC,07109,12906,60,4.649000465,0,0,14249,288,20.2119447
NYC,07110,11018,60,5.445634416,0,0,11914,86,7.218398523
NYC,07111,20062,59,2.940883262,0,0,23542,15,0.63715912
NYC,07112,9201,30,3.260515161,0,0,11263,94,8.345911391
NYC,07114,3850,0,0,0,0,4401,51,11.58827539
NYC,07201,7894,65,8.23410185,0,0,9583,29,3.026192215
NYC,07202,13087,85,6.494995033,0,0,15451,164,10.61419973
NYC,07203,8128,49,6.028543307,0,0,8407,99,11.77590103
NYC,07204,4910,11,2.240325866,0,0,5408,44,8.136094675
NYC,07205,7242,26,3.590168462,0,0,7032,48,6.825938567
NYC,07206,7508,9,1.198721364,0,0,9308,44,4.727116459
NYC,07208,10930,20,1.829826167,0,0,11779,107,9.083962985
NYC,07302,19180,373,19.44734098,2,2,28824,530,18.3874549
NYC,07304,15517,186,11.98685313,0,0,20852,204,9.783234222
NYC,07305,22113,146,6.602451047,0,0,26177,533,20.36138595
NYC,07306,20273,146,7.201696838,0,0,22937,335,14.605223
NYC,07307,15929,90,5.650072195,0,0,17557,270,15.37848152
NYC,07310,5809,26,4.475813393,0,0,7822,70,8.949117873
NYC,07311,191,13,68.06282723,0,0,1054,130,123.3396584
NYC,07407,6912,29,4.195601852,0,0,7462,33,4.422406861
NYC,07410,11766,27,2.294747578,0,0,12229,79,6.46005397
NYC,07450,8306,16,1.926318324,0,0,8903,46,5.166797709
NYC,07601,18169,62,3.412405746,0,0,20214,79,3.908182448
NYC,07603,2878,18,6.254343294,0,0,3402,0,0
NYC,07604,4471,42,9.393871617,0,0,4474,47,10.50514081
NYC,07605,3336,27,8.09352518,0,0,3365,0,0
NYC,07606,909,0,0,0,0,926,0,0
NYC,07607,3530,10,2.83286119,0,0,3889,48,12.3425045
NYC,07608,43,0,0,0,0,39,0,0
NYC,07620,575,0,0,0,0,522,0,0
NYC,07621,8972,4,0.445831476,0,0,9322,14,1.501823643
NYC,07624,2687,0,0,0,0,2654,15,5.65184627
NYC,07626,2964,0,0,0,0,3102,18,5.80270793
NYC,07627,1682,0,0,0,0,1672,0,0
NYC,07628,6308,16,2.536461636,0,0,6534,0,0
NYC,07630,2401,0,0,0,0,2636,0,0
NYC,07631,10675,49,4.590163934,0,0,11274,90,7.982969665
NYC,07632,1763,0,0,0,0,2010,29,14.4278607
NYC,07640,1564,0,0,0,0,1768,0,0
NYC,07641,1134,5,4.409171076,0,0,1058,0,0
NYC,07642,3534,0,0,0,0,3478,9,2.587694077
NYC,07643,4237,0,0,0,0,4527,24,5.301524188
NYC,07644,9061,0,0,0,0,9687,119,12.28450501
NYC,07645,2828,0,0,0,0,3126,0,0
NYC,07646,5979,13,2.174276635,0,0,6216,7,1.126126126
NYC,07647,1763,5,2.836074872,0,0,1795,0,0
NYC,07648,2083,8,3.840614498,0,0,1966,35,17.80264496
NYC,07649,2633,0,0,0,0,2669,0,0
NYC,07650,7317,16,2.186688534,0,0,7472,90,12.04496788
NYC,07652,8470,25,2.951593861,0,0,8464,72,8.506616257
NYC,07656,3201,0,0,0,0,3276,31,9.462759463
NYC,07657,4002,10,2.498750625,0,0,4036,0,0
NYC,07660,4633,12,2.590114397,0,0,5108,9,1.761942052
NYC,07661,3949,2,0.506457331,0,0,4503,0,0
NYC,07662,1923,0,0,0,0,2367,0,0
NYC,07663,5280,37,7.007575758,0,0,5530,57,10.3074141
NYC,07666,13321,46,3.453194205,0,0,13716,54,3.937007874
NYC,07670,4758,0,0,0,0,5227,70,13.39200306
NYC,07675,9599,8,0.833420148,0,0,9508,112,11.77955406
NYC,07676,3200,24,7.5,0,0,3321,12,3.613369467
NYC,07677,2088,0,0,0,0,2162,0,0
NYC,07701,9689,70,7.22468779,0,0,10708,89,8.311542772
NYC,07704,2027,30,14.80019734,0,0,2046,19,9.286412512
NYC,07716,3567,9,2.52312868,0,0,3934,8,2.033553635
NYC,07718,2382,15,6.297229219,0,0,2465,34,13.79310345
NYC,07721,1067,0,0,0,0,1603,5,3.119151591
NYC,07722,3285,22,6.697108067,0,0,3629,14,3.857812069
NYC,07726,14972,39,2.60486241,0,0,16559,38,2.294824567
NYC,07730,5934,20,3.370407819,0,0,6660,81,12.16216216
NYC,07732,2533,23,9.080142124,0,0,2451,17,6.935944512
NYC,07733,5617,0,0,0,0,6262,42,6.707122325
NYC,07734,5365,25,4.659832246,0,0,4973,35,7.038005228
NYC,07735,7126,19,2.66629245,0,0,8191,46,5.615919912
NYC,07737,1427,6,4.204625088,0,0,1504,0,0
NYC,07738,2050,0,0,0,0,2498,0,0
NYC,07746,6210,19,3.05958132,0,0,6149,17,2.764677183
NYC,07747,11566,41,3.544872903,0,0,13097,73,5.573795526
NYC,07748,9542,43,4.50639279,0,0,10278,55,5.351235649
NYC,07751,5996,0,0,0,0,7354,22,2.991569214
NYC,07758,1571,0,0,0,0,1631,28,17.16738197
